#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
  14200      1.63e+00      9.96e-03      6.12e-02    7.0e-04
  14300      1.63e+00      1.10e-02      6.08e-02    7.0e-04
  14400      1.52e+00      1.65e-02      5.60e-02    7.0e-04
  14500      1.43e+00      8.15e-03      5.38e-02    7.0e-04
  14600      1.72e+00      1.24e-02      6.42e-02    7.0e-04
  14700      2.69e+00      2.11e-02      1.00e-01    7.0e-04
  14800      1.51e+00      1.07e-03      5.72e-02    7.0e-04
  14900      1.72e+00      3.08e-03      6.51e-02    7.0e-04
  15000      1.51e+00      3.50e-03      5.72e-02    7.0e-04
  15100      2.16e+00      5.61e-03      8.16e-02    7.0e-04
  15200      2.12e+00      5.19e-02      6.78e-02    7.0e-04
  15300      4.38e+00      3.43e-02      1.63e-01    7.0e-04
  15400      1.50e+00      1.68e-02      5.52e-02    7.0e-04
  15500      3.05e+00      7.56e-03      1.15e-01    7.0e-04
  15600      2.16e+00      1.06e-03      8.16e-02    7.0e-04
  15700      2.22e+00      5.65e-03      8.40e-02    7.0e-04
  15800      1.94e+00      9.61e-03      7.31e-02    7.0e-04
  15900      1.41e+00      1.37e-02      5.26e-02    7.0e-04
  16000      5.92e+00      5.49e-03      2.30e-01    6.6e-04
  16100      1.56e+00      7.16e-03      6.03e-02    6.6e-04
  16200      1.76e+00      1.90e-03      6.83e-02    6.6e-04
  16300      9.21e+00      2.88e-01      3.55e-01    6.6e-04
  16400      1.77e+00      6.92e-03      6.82e-02    6.6e-04
  16500      1.46e+00      2.42e-03      5.67e-02    6.6e-04
  16600      1.46e+00      8.73e-03      5.63e-02    6.6e-04
  16700      1.57e+00      1.51e-03      6.11e-02    6.6e-04
  16800      1.56e+00      1.37e-02      5.96e-02    6.6e-04
  16900      1.47e+00      5.79e-03      5.67e-02    6.6e-04
  17000      2.55e+00      1.68e-03      9.91e-02    6.6e-04
  17100      1.72e+00      7.34e-03      6.65e-02    6.6e-04
  17200      1.50e+00      2.80e-03      5.83e-02    6.6e-04
  17300      3.87e+00      1.82e-02      1.49e-01    6.6e-04
  17400      2.63e+00      4.02e-02      9.54e-02    6.6e-04
  17500      1.54e+00      4.77e-03      5.95e-02    6.6e-04
  17600      1.90e+00      7.30e-03      7.33e-02    6.6e-04
  17700      1.39e+00      1.54e-03      5.38e-02    6.6e-04
  17800      1.90e+00      1.51e-03      7.39e-02    6.6e-04
  17900      5.67e+00      5.04e-03      2.20e-01    6.6e-04
  18000      1.39e+00      1.40e-02      5.44e-02    6.3e-04
  18100      1.54e+00      5.34e-02      4.55e-02    6.3e-04
  18200      1.45e+00      1.26e-02      5.64e-02    6.3e-04
  18300      1.75e+00      8.98e-03      6.90e-02    6.3e-04
  18400      1.81e+00      3.17e-02      6.54e-02    6.3e-04
  18500      1.48e+00      4.41e-03      5.89e-02    6.3e-04
  18600      1.53e+00      4.97e-04      6.08e-02    6.3e-04
  18700      1.41e+00      5.94e-03      5.59e-02    6.3e-04
  18800      1.79e+00      8.13e-03      7.08e-02    6.3e-04
  18900      2.48e+00      2.22e-02      9.63e-02    6.3e-04
  19000      1.83e+00      3.92e-03      7.27e-02    6.3e-04
  19100      1.31e+00      7.48e-04      5.22e-02    6.3e-04
  19200      1.48e+01      6.09e-01      5.82e-01    6.3e-04
  19300      1.51e+00      8.10e-03      5.98e-02    6.3e-04
  19400      1.31e+00      3.11e-04      5.20e-02    6.3e-04
  19500      3.53e+00      2.79e-03      1.41e-01    6.3e-04
  19600      1.79e+00      4.25e-03      7.11e-02    6.3e-04
  19700      1.53e+00      2.19e-03      6.07e-02    6.3e-04
  19800      1.71e+00      2.57e-03      6.81e-02    6.3e-04
  19900      1.54e+00      5.45e-03      6.11e-02    6.3e-04
  20000      1.32e+00      4.14e-03      5.37e-02    6.0e-04
  20100      1.24e+00      1.10e-02      5.00e-02    6.0e-04
  20200      1.34e+00      3.37e-03      5.47e-02    6.0e-04
  20300      1.87e+00      2.68e-03      7.65e-02    6.0e-04
  20400      5.07e+00      2.84e-01      2.02e-01    6.0e-04
  20500      1.38e+00      8.84e-04      5.64e-02    6.0e-04
  20600      1.20e+00      3.77e-03      4.88e-02    6.0e-04
  20700      1.39e+00      5.09e-04      5.69e-02    6.0e-04
  20800      1.30e+00      2.03e-03      5.32e-02    6.0e-04
  20900      1.26e+00      5.66e-03      5.12e-02    6.0e-04
  21000      1.21e+00      1.36e-04      4.96e-02    6.0e-04
  21100      2.23e+00      7.34e-03      9.08e-02    6.0e-04
  21200      1.40e+00      6.05e-03      5.69e-02    6.0e-04
  21300      1.35e+00      1.10e-02      5.41e-02    6.0e-04
  21400      2.68e+00      7.82e-03      1.09e-01    6.0e-04
  21500      1.25e+00      3.33e-03      5.08e-02    6.0e-04
  21600      1.34e+00      3.32e-04      5.47e-02    6.0e-04
  21700      1.25e+00      9.52e-03      5.03e-02    6.0e-04
  21800      1.35e+00      1.86e-03      5.52e-02    6.0e-04
  21900      1.29e+00      6.51e-04      5.27e-02    6.0e-04
  22000      1.59e+00      1.20e-02      6.53e-02    5.7e-04
  22100      1.51e+00      3.75e-03      6.33e-02    5.7e-04
  22200      1.26e+00      5.06e-03      5.27e-02    5.7e-04
  22300      1.61e+00      7.06e-04      6.73e-02    5.7e-04
  22400      1.29e+00      2.65e-02      4.62e-02    5.7e-04
  22500      1.18e+00      2.26e-03      4.94e-02    5.7e-04
  22600      1.40e+00      4.38e-03      5.86e-02    5.7e-04
  22700      1.62e+00      6.49e-03      6.76e-02    5.7e-04
  22800      1.19e+00      1.27e-03      4.97e-02    5.7e-04
  22900      1.33e+00      7.50e-04      5.57e-02    5.7e-04
  23000      1.53e+00      5.97e-03      6.39e-02    5.7e-04
  23100      1.76e+00      3.26e-02      6.80e-02    5.7e-04
  23200      1.91e+00      5.14e-04      8.01e-02    5.7e-04
  23300      1.31e+00      1.56e-03      5.47e-02    5.7e-04
  23400      1.43e+00      5.21e-03      5.97e-02    5.7e-04
  23500      1.29e+00      7.91e-03      5.32e-02    5.7e-04
